# NED distances 
#
# name   = galaxy name
# RA,DEC = RA, DEC (J2000) [in degrees]
# mu     = distance modulus (+error) derived from z [in mag]
# D      = mean distance (+error) [in Mpc]
# minD   = min distance in NED [in Mpc]
# maxD   = max distance in NED [in Mpc]
# Vhel   = Heliocentric velocity [in kms]
# A_V    = foreground extinction [in mag] from Schlafly+ '11
#
# Total number of galaxies: 1
#
###########################################################################################################################
#name           |     RA[deg]  |    DEC[deg]  |     mu[mag]  |      mu_err |       D[Mpc]  |       D_err  |    minD[Mpc] |    maxD[Mpc] |    Vhel[kms] |     Vhel_err |    A_V[mag] 
         PGC824 |     2.963140 |   -27.366840 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |     0.000000 |          NaN |     0.058000
         PGC852 |     3.078583 |    31.061083 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4857.000000 |    11.000000 |     0.196000
         PGC863 |     3.179683 |    20.891916 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |     0.000000 |          NaN |     0.204000
         PGC869 |     3.227125 |    33.361389 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4756.000000 |     9.000000 |     0.126000
         PGC874 |     3.253292 |    39.245918 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4613.000000 |    28.000000 |     0.232000
         PGC875 |     3.253125 |    30.915277 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4785.000000 |    10.000000 |     0.190000
         PGC878 |     3.262917 |    14.409972 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  2032.000000 |     1.000000 |     0.115000
         PGC889 |     3.322083 |    17.030001 |    30.320000 |     0.120000 |    11.620000 |     0.690000 |    11.000000 |    12.700000 |   854.000000 |     2.000000 |     0.108000
         PGC913 |     3.462083 |    35.994167 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4531.000000 |     4.000000 |     0.172000
         PGC921 |     3.487167 |    30.882944 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4782.000000 |    22.000000 |     0.205000
         PGC924 |     3.503750 |    12.962778 |    31.559999 |          NaN |    20.500000 |          NaN |    20.500000 |    20.500000 |  1678.000000 |    13.000000 |     0.285000
         PGC926 |     3.495875 |   -70.022667 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4187.000000 |     5.000000 |     0.083000
         PGC929 |     3.509125 |    48.234859 |    33.009998 |     1.280000 |    43.599998 |    24.299999 |    26.400000 |    60.799999 |  1776.000000 |     8.000000 |     0.336000
         PGC930 |     3.516625 |   -23.182083 |    29.740000 |     0.630000 |     9.204000 |     0.623000 |     5.900000 |    13.900000 |   467.000000 |          NaN |     0.058000
         PGC934 |     3.514583 |    12.896111 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |   764.000000 |          NaN |     0.302000
